Log,Min SOC,Max SOC,SoH,shutdown min cell,shutdown max cell,boot min cell,boot max cell,min temp,max temp,Max Current,Cycle Number,logged wo sleep,cycle inc,shutdown min volt,shutdown max volt,boot min volt,boot max volt,shutdown capacity,accum charge,accum discharge,binary
67,56,100,0,0,9,11,10,23,28,2,6,0,1,4300,4320,3820,3820,10500,6297,0,43 38 64 00 47 4C 7A 02 00 06 80 AB BF BF 90 D7 D8 04 29 99 18 00 00 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
66,44,99,0,11,10,11,10,23,32,27,6,1,0,3800,3820,4300,4320,4691,0,5808,42 2C 63 00 47 50 58 1B 00 06 40 AB D7 D8 AB BE BF 53 12 00 00 00 6B 01 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
65,99,100,0,11,9,11,10,25,25,0,5,0,0,4300,4320,4300,4340,10500,13,0,41 63 64 00 49 49 6A 00 00 05 00 AB D7 D9 9B D7 D8 04 29 0D 00 00 00 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
64,58,79,0,11,10,11,10,26,27,0,5,0,0,4300,4340,3820,4340,8391,2315,16,40 3A 4F 00 4A 4B 7B 00 00 05 00 AB BF D9 AB D7 D9 C7 20 0B 09 00 01 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
63,50,100,0,0,1,6,10,22,27,0,5,0,1,4240,4360,3780,3780,10500,7117,0,3F 32 64 00 46 4B 7B 00 00 05 80 A6 BD BD 10 D4 DA 04 29 CD 1B 00 00 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
62,30,70,0,6,10,6,10,15,27,30,5,0,0,3760,3780,4020,4040,3178,2,4272,3E 1E 46 00 3F 4B 50 1E 00 05 00 A6 C9 CA A6 BC BD 6A 0C 02 00 00 0B 01 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
61,70,99,0,6,10,6,10,24,29,27,5,1,0,4020,4040,4320,4340,7453,2,3040,3D 46 63 00 48 4D 53 1B 00 05 40 A6 D8 D9 A6 C9 CA 1D 1D 02 00 00 BE 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
60,99,100,0,6,10,4,11,26,26,0,4,0,0,4320,4340,4260,4400,10500,315,0,3C 63 64 00 4A 4A 7A 00 00 04 00 B4 D5 DC A6 D8 D9 04 29 3B 01 00 00 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
59,60,100,0,4,10,6,10,23,26,0,4,0,1,4300,4360,3900,3920,10500,4537,0,3B 3C 64 00 47 4A 7A 00 00 04 80 A6 C3 C4 A4 D7 DA 04 29 B9 11 00 00 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
58,60,100,0,6,10,6,10,20,25,27,4,0,0,3900,3920,4300,4320,6322,25,4176,3A 3C 64 00 44 49 53 1B 00 04 00 A6 D7 D8 A6 C3 C4 B2 18 19 00 00 05 01 05 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
